date,actual,forecast
2024-09-26,12757.65,12686.708999999992
2024-09-27,12736.48,12686.708999999992
2024-09-28,12736.48,12686.708999999992
2024-09-29,12736.48,12686.708999999992
2024-09-30,12715.42,12686.708999999992
2024-10-01,12715.42,12686.708999999992
2024-10-02,12739.99,12686.708999999992
2024-10-03,12757.94,12686.708999999992
2024-10-04,12741.02,12686.708999999992
2024-10-05,12741.02,12686.708999999992
2024-10-06,12741.02,12686.708999999992
2024-10-07,12775.02,12686.708999999992
2024-10-08,12794.88,12686.708999999992
2024-10-09,12787.03,12686.708999999992
2024-10-10,12778.0,12686.708999999992
2024-10-11,12768.3,12686.708999999992
2024-10-12,12768.3,12686.708999999992
2024-10-13,12768.3,12686.708999999992
2024-10-14,12780.14,12686.708999999992
2024-10-15,12803.05,12686.708999999992
2024-10-16,12793.03,12686.708999999992
2024-10-17,12777.06,12686.708999999992
2024-10-18,12803.06,12686.708999999992
2024-10-19,12803.06,12686.708999999992
2024-10-20,12803.06,12686.708999999992
2024-10-21,12815.13,12686.708999999992
2024-10-22,12805.09,12686.708999999992
2024-10-23,12817.85,12686.708999999992
2024-10-24,12827.9,12686.708999999992
2024-10-25,12816.11,12686.708999999992
2024-10-26,12816.11,12686.708999999992
2024-10-27,12816.11,12686.708999999992
2024-10-28,12808.39,12686.708999999992
2024-10-29,12794.92,12686.708999999992
2024-10-30,12784.97,12686.708999999992
2024-10-31,12774.34,12686.708999999992
2024-11-01,12780.09,12686.708999999992
2024-11-02,12780.09,12686.708999999992
2024-11-03,12780.09,12686.708999999992
2024-11-04,12795.02,12686.708999999992
2024-11-05,12790.12,12686.708999999992
2024-11-06,12774.98,12686.708999999992
2024-11-07,12786.98,12686.708999999992
2024-11-08,12809.05,12686.708999999992
2024-11-09,12809.05,12686.708999999992
2024-11-10,12809.05,12686.708999999992
2024-11-11,12822.98,12686.708999999992
2024-11-12,12803.81,12686.708999999992
2024-11-13,12793.38,12686.708999999992
2024-11-14,12808.03,12686.708999999992
2024-11-15,12800.13,12686.708999999992
2024-11-16,12800.13,12686.708999999992
2024-11-17,12800.13,12686.708999999992
2024-11-18,12812.3,12686.708999999992
2024-11-19,12825.01,12686.708999999992
