date,actual,forecast
2024-07-28,12634.0,12663.04219999999
2024-07-29,12599.83,12663.730499999989
2024-07-30,12574.38,12659.598799999992
2024-07-31,12541.04,12651.089099999994
2024-08-01,12544.11,12643.19039999999
2024-08-02,12574.88,12637.42439999999
2024-08-03,12574.88,12638.42479999999
2024-08-04,12574.88,12632.900099999993
2024-08-05,12581.86,12631.556399999992
2024-08-06,12594.85,12630.099299999993
2024-08-07,12615.97,12632.924099999993
2024-08-08,12640.01,12635.890499999996
2024-08-09,12651.98,12642.390999999998
2024-08-10,12651.98,12646.453899999997
2024-08-11,12651.98,12644.783899999995
2024-08-12,12643.0,12650.418699999995
2024-08-13,12630.96,12659.208699999994
2024-08-14,12619.96,12659.615299999994
2024-08-15,12622.77,12660.547499999993
2024-08-16,12650.05,12663.120199999994
2024-08-17,12650.05,12663.598799999992
2024-08-18,12650.05,12667.273799999988
2024-08-19,12658.0,12668.16889999999
2024-08-20,12640.93,12666.958199999992
2024-08-21,12625.21,12664.397299999993
2024-08-22,12645.01,12666.26249999999
2024-08-23,12677.04,12664.787999999991
2024-08-24,12677.04,12670.861599999986
2024-08-25,12677.04,12670.896799999988
2024-08-26,12688.08,12672.478299999986
2024-08-27,12669.65,12673.251999999988
2024-08-28,12652.19,12670.648699999985
2024-08-29,12673.94,12668.689399999985
2024-08-30,12625.01,12672.563599999987
2024-08-31,12625.01,12666.624299999989
2024-09-01,12625.01,12663.17349999999
2024-09-02,12625.01,12662.77059999999
2024-09-03,12625.01,12662.159199999993
2024-09-04,12640.04,12661.834299999993
2024-09-05,12650.26,12662.822899999992
2024-09-06,12707.95,12666.273199999987
2024-09-07,12707.95,12670.438599999987
2024-09-08,12707.95,12671.429199999988
2024-09-09,12700.1,12671.832999999986
2024-09-10,12681.79,12673.160599999987
2024-09-11,12686.71,12672.842699999987
2024-09-12,12715.07,12672.375899999985
2024-09-13,12741.76,12672.300499999985
2024-09-14,12741.76,12671.834499999986
2024-09-15,12741.76,12670.885099999987
2024-09-16,12749.75,12671.159999999985
2024-09-17,12729.48,12670.885099999987
2024-09-18,12732.56,12670.885099999987
2024-09-19,12739.95,12670.885099999987
2024-09-20,12724.84,12670.885099999987
2024-09-21,12724.84,12670.885099999987
2024-09-22,12724.84,12670.885099999987
2024-09-23,12729.83,12670.885099999987
2024-09-24,12747.29,12670.885099999987
2024-09-25,12754.83,12670.885099999987
2024-09-26,12757.65,12670.885099999987
2024-09-27,12736.48,12670.885099999987
2024-09-28,12736.48,12670.885099999987
2024-09-29,12736.48,12670.885099999987
2024-09-30,12715.42,12670.885099999987
2024-10-01,12715.42,12670.885099999987
2024-10-02,12739.99,12670.885099999987
2024-10-03,12757.94,12670.885099999987
2024-10-04,12741.02,12670.885099999987
2024-10-05,12741.02,12670.885099999987
2024-10-06,12741.02,12670.885099999987
2024-10-07,12775.02,12670.885099999987
2024-10-08,12794.88,12670.885099999987
2024-10-09,12787.03,12670.885099999987
2024-10-10,12778.0,12670.885099999987
2024-10-11,12768.3,12670.885099999987
2024-10-12,12768.3,12670.885099999987
2024-10-13,12768.3,12670.885099999987
2024-10-14,12780.14,12670.885099999987
2024-10-15,12803.05,12670.885099999987
2024-10-16,12793.03,12670.885099999987
2024-10-17,12777.06,12670.885099999987
2024-10-18,12803.06,12670.885099999987
2024-10-19,12803.06,12670.885099999987
2024-10-20,12803.06,12670.885099999987
2024-10-21,12815.13,12670.885099999987
2024-10-22,12805.09,12670.885099999987
2024-10-23,12817.85,12670.885099999987
2024-10-24,12827.9,12670.885099999987
2024-10-25,12816.11,12670.885099999987
2024-10-26,12816.11,12670.885099999987
2024-10-27,12816.11,12670.885099999987
2024-10-28,12808.39,12670.885099999987
2024-10-29,12794.92,12670.885099999987
2024-10-30,12784.97,12670.885099999987
2024-10-31,12774.34,12670.885099999987
2024-11-01,12780.09,12670.885099999987
2024-11-02,12780.09,12670.885099999987
2024-11-03,12780.09,12670.885099999987
2024-11-04,12795.02,12670.885099999987
2024-11-05,12790.12,12670.885099999987
2024-11-06,12774.98,12670.885099999987
2024-11-07,12786.98,12670.885099999987
2024-11-08,12809.05,12670.885099999987
2024-11-09,12809.05,12670.885099999987
2024-11-10,12809.05,12670.885099999987
2024-11-11,12822.98,12670.885099999987
2024-11-12,12803.81,12670.885099999987
2024-11-13,12793.38,12670.885099999987
2024-11-14,12808.03,12670.885099999987
2024-11-15,12800.13,12670.885099999987
2024-11-16,12800.13,12670.885099999987
2024-11-17,12800.13,12670.885099999987
2024-11-18,12812.3,12670.885099999987
2024-11-19,12825.01,12670.885099999987
2024-11-20,12844.0,12670.885099999987
2024-11-21,12855.93,12670.885099999987
2024-11-22,12844.21,12670.885099999987
2024-11-23,12844.21,12670.885099999987
2024-11-24,12844.21,12670.885099999987
2024-11-25,12829.07,12670.885099999987
2024-11-26,12814.78,12670.885099999987
2024-11-27,12820.47,12670.885099999987
2024-11-28,12848.38,12670.885099999987
2024-11-29,12865.05,12670.885099999987
2024-11-30,12865.05,12670.885099999987
2024-12-01,12865.05,12670.885099999987
