date,actual,forecast
2024-10-12,12768.3,12758.79
2024-10-13,12768.3,12761.874
2024-10-14,12780.14,12763.324
2024-10-15,12803.05,12765.69
2024-10-16,12793.03,12769.113
2024-10-17,12777.06,12773.113
2024-10-18,12803.06,12774.396
2024-10-19,12803.06,12774.979
2024-10-20,12803.06,12777.156
2024-10-21,12815.13,12780.126
2024-10-22,12805.090000000002,12784.08
2024-10-23,12817.85,12787.988
2024-10-24,12827.9,12791.779
2024-10-25,12816.11,12795.576
2024-10-26,12816.11,12798.163
2024-10-27,12816.11,12800.819
2024-10-28,12808.39,12803.891
2024-10-29,12794.92,12804.807
2024-10-30,12784.97,12804.537
2024-10-31,12774.34,12802.797
2024-11-01,12780.089999999998,12799.003
2024-11-02,12780.089999999998,12795.095
2024-11-03,12780.089999999998,12790.541
2024-11-04,12795.019999999999,12785.753
2024-11-05,12790.12,12782.686
2024-11-06,12774.98,12780.641
2024-11-07,12786.980000000001,12778.457
2024-11-08,12809.05,12776.836
2024-11-09,12809.05,12777.446
2024-11-10,12809.05,12779.918
2024-11-11,12822.98,12783.374
2024-11-12,12803.81,12787.157
2024-11-13,12793.380000000003,12790.773
2024-11-14,12808.030000000004,12792.981
2024-11-15,12800.13,12793.935
2024-11-16,12800.13,12795.045
2024-11-17,12800.13,12796.372
2024-11-18,12812.300000000001,12796.636
2024-11-19,12825.01,12796.074
2024-11-20,12844.0,12796.754
2024-11-21,12855.93,12799.223
2024-11-22,12844.21,12802.931
2024-11-23,12844.21,12808.424
2024-11-24,12844.21,12814.094
2024-11-25,12829.070000000002,12818.562
2024-11-26,12814.780000000002,12822.362
2024-11-27,12820.47,12824.194
2024-11-28,12848.38,12824.627
2024-11-29,12865.05,12824.96
2024-11-30,12865.05,12826.455
2024-12-01,12865.05,12828.359
2024-12-02,12852.0,12830.435
2024-12-03,12838.33,12833.049
2024-12-04,12825.43,12834.491
2024-12-05,12813.04,12834.327
2024-12-06,12837.100000000002,12833.145
2024-12-07,12837.100000000002,12832.231
2024-12-08,12837.100000000002,12831.464
2024-12-09,12837.100000000002,12829.399
2024-12-10,12861.25,12826.893
2024-12-11,12874.02,12825.905
2024-12-12,12865.66,12827.174
2024-12-13,12860.09,12830.267
2024-12-14,12880.0,12833.958
2024-12-15,12880.0,12838.697
2024-12-16,12892.97,12844.574
2024-12-17,12874.86,12849.508
2024-12-18,12869.9,12854.149
2024-12-19,12861.83,12857.501
2024-12-20,12875.06,12859.548
2024-12-21,12875.06,12859.798
2024-12-22,12875.06,12859.648
2024-12-23,12893.07,12860.024
2024-12-24,12902.0,12861.396
2024-12-25,12909.8,12863.003
2024-12-26,12928.269999999999,12865.8545
2024-12-27,12920.48,12869.617
2024-12-28,12920.48,12875.316
2024-12-29,12920.48,12881.091
2024-12-30,12920.48,12886.894
2024-12-31,12920.48,12891.428
2025-01-01,12920.48,12895.418
2025-01-02,12920.48,12898.826
2025-01-03,12904.91,12900.777
2025-01-04,12915.18,12901.309
2025-01-05,12915.18,12900.828
2025-01-06,12942.01,12899.567
2025-01-07,12930.11,12899.961
2025-01-08,12948.1,12901.378
2025-01-09,12962.980000000001,12903.495
2025-01-10,12940.44,12907.203
2025-01-11,12940.44,12911.073
2025-01-12,12940.44,12914.056
2025-01-13,12957.0,12916.55
2025-01-14,12972.08,12920.023
2025-01-15,12970.999999999998,12923.893
2025-01-16,12962.01,12928.42
2025-01-17,12955.26,12931.257
2025-01-18,12955.26,12933.98
2025-01-19,12955.26,12935.032
2025-01-20,12966.999999999996,12934.997
2025-01-21,12975.09,12936.425
2025-01-22,12984.439999999999,12938.489
2025-01-23,12990.0,12941.325
2025-01-24,12979.13,12944.099
2025-01-25,12979.13,12946.23
2025-01-26,12979.13,12948.119
2025-01-27,12969.049999999997,12950.276
2025-01-28,12963.27,12952.062
2025-01-29,12974.98,12952.718
2025-01-30,12968.340000000002,12953.007
2025-01-31,12957.009999999997,12952.583
2025-02-01,12957.009999999997,12951.003
2025-02-02,12957.009999999997,12948.365
2025-02-03,12975.049999999997,12945.397
2025-02-04,12985.01,12943.852
2025-02-05,12998.91,12943.8
2025-02-06,12985.32,12945.376
2025-02-07,12969.84,12948.176
2025-02-08,12969.84,12950.357
2025-02-09,12969.84,12950.935
2025-02-10,12957.0,12951.395
2025-02-11,12971.93,12951.524
2025-02-12,12979.99,12951.207
2025-02-13,12989.07,12951.489
2025-02-14,13003.949999999999,12951.68
2025-02-15,13003.949999999999,12952.797
2025-02-16,13003.949999999999,12954.509
2025-02-17,12993.15,12957.591
2025-02-18,12981.25,12961.203
