date,actual,forecast
2024-11-03,12780.09,12636.785972549054
2024-11-04,12795.02,12636.785974662593
2024-11-05,12790.12,12636.785985031654
2024-11-06,12774.98,12636.785992100326
2024-11-07,12786.98,12636.785989142472
2024-11-08,12809.05,12636.785980444038
2024-11-09,12809.05,12636.785975546258
2024-11-10,12809.05,12636.785978914304
2024-11-11,12822.98,12636.785986074323
2024-11-12,12803.81,12636.785989292937
2024-11-13,12793.38,12636.785985822053
2024-11-14,12808.03,12636.785980036246
2024-11-15,12800.13,12636.785978087992
2024-11-16,12800.13,12636.785981453475
2024-11-17,12800.13,12636.785986042212
2024-11-18,12812.3,12636.785987053694
2024-11-19,12825.01,12636.785983925954
2024-11-20,12844.0,12636.785980357437
2024-11-21,12855.93,12636.7859800155
2024-11-22,12844.21,12636.785982829917
2024-11-23,12844.21,12636.78598554603
2024-11-24,12844.21,12636.785985428449
2024-11-25,12829.07,12636.785982961646
2024-11-26,12814.78,12636.785980944467
2024-11-27,12820.47,12636.78598135983
2024-11-28,12848.38,12636.78598347372
2024-11-29,12865.05,12636.785984928287
2024-11-30,12865.05,12636.785984336895
2024-12-01,12865.05,12636.785982561796
2024-12-02,12852.0,12636.785981551655
2024-12-03,12838.33,12636.785982229829
2024-12-04,12825.43,12636.785983692394
2024-12-05,12813.04,12636.785984358401
2024-12-06,12837.1,12636.785983656751
2024-12-07,12837.1,12636.785982473759
2024-12-08,12837.1,12636.785982068423
2024-12-09,12837.1,12636.78598275054
2024-12-10,12861.25,12636.7859836897
2024-12-11,12874.02,12636.78598390254
2024-12-12,12865.66,12636.7859832674
2024-12-13,12860.09,12636.785982536272
2024-12-14,12880.0,12636.785982461268
2024-12-15,12880.0,12636.785983033644
2024-12-16,12892.97,12636.785983590786
2024-12-17,12874.86,12636.785983570962
2024-12-18,12869.9,12636.78598306865
2024-12-19,12861.83,12636.785982654306
2024-12-20,12875.06,12636.785982735802
2024-12-21,12875.06,12636.785983166727
2024-12-22,12875.06,12636.785983466012
2024-12-23,12893.07,12636.785983347832
2024-12-24,12902.0,12636.785982985604
2024-12-25,12909.8,12636.785982777297
2024-12-26,12928.27,12636.785982913816
2024-12-27,12920.48,12636.785983212558
2024-12-28,12920.48,12636.78598335034
2024-12-29,12920.48,12636.785983208523
2024-12-30,12920.48,12636.785982966656
2024-12-31,12920.48,12636.785982882357
2025-01-01,12920.48,12636.785983020593
2025-01-02,12920.48,12636.785983212798
2025-01-03,12904.91,12636.785983257545
2025-01-04,12915.18,12636.78598312858
2025-01-05,12915.18,12636.785982978794
2025-01-06,12942.01,12636.78598296242
2025-01-07,12930.11,12636.785983078817
2025-01-08,12948.1,12636.785983193093
2025-01-09,12962.98,12636.7859831899
2025-01-10,12940.44,12636.785983087622
2025-01-11,12940.44,12636.785983002519
2025-01-12,12940.44,12636.78598301848
2025-01-13,12957.0,12636.785983106322
2025-01-14,12972.08,12636.785983167896
2025-01-15,12971.0,12636.785983144293
2025-01-16,12962.01,12636.78598307038
2025-01-17,12955.26,12636.78598302743
2025-01-18,12955.26,12636.785983054904
2025-01-19,12955.26,12636.785983115922
2025-01-20,12967.0,12636.78598314442
2025-01-21,12975.09,12636.78598311576
2025-01-22,12984.44,12636.785983066311
2025-01-23,12990.0,12636.785983048785
2025-01-24,12979.13,12636.785983076796
2025-01-25,12979.13,12636.78598311613
2025-01-26,12979.13,12636.785983125528
2025-01-27,12969.05,12636.785983099344
2025-01-28,12963.27,12636.78598306866
2025-01-29,12974.98,12636.7859830651
2025-01-30,12968.34,12636.785983088768
2025-01-31,12957.01,12636.785983112206
2025-02-01,12957.01,12636.78598311173
2025-02-02,12957.01,12636.785983090906
2025-02-03,12975.05,12636.785983073427
2025-02-04,12985.01,12636.785983076546
2025-02-05,12998.91,12636.78598309445
2025-02-06,12985.32,12636.785983107118
2025-02-07,12969.84,12636.785983102407
2025-02-08,12969.84,12636.785983087326
2025-02-09,12969.84,12636.785983078471
2025-02-10,12957.0,12636.785983083999
2025-02-11,12971.93,12636.78598309646
2025-02-12,12979.99,12636.785983102354
2025-02-13,12989.07,12636.785983096564
2025-02-14,13003.95,12636.785983086456
2025-02-15,13003.95,12636.785983082815
2025-02-16,13003.95,12636.78598308849
2025-02-17,12993.15,12636.785983096539
2025-02-18,12981.25,12636.785983098513
2025-02-19,12970.19,12636.785983093198
2025-02-20,12950.03,12636.785983086911
2025-02-21,12929.92,12636.78598308614
2025-02-22,12929.92,12636.785983090953
2025-02-23,12929.92,12636.78598309576
2025-02-24,12916.18,12636.785983095699
2025-02-25,12899.91,12636.785983091459
