date,usd_uzs,usd_uzs_scaled,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2017-09-12,8092.13,0.06271979220568391,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991
2017-09-13,8092.13,0.06271979220568391,0.06271979220568391,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991
2017-09-14,8092.13,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991
2017-09-15,8092.13,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06431680516238991,0.06431680516238991,0.06431680516238991,0.06431680516238991
2017-09-16,8092.13,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06431680516238991,0.06431680516238991,0.06431680516238991
2017-09-17,8092.13,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06431680516238991,0.06431680516238991
2017-09-18,8092.13,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06431680516238991
2017-09-19,8077.48,0.059746953601395925,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391
2017-09-20,8077.48,0.059746953601395925,0.059746953601395925,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391
2017-09-21,8077.48,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391
2017-09-22,8077.48,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.06271979220568391,0.06271979220568391,0.06271979220568391,0.06271979220568391
2017-09-23,8077.48,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.06271979220568391,0.06271979220568391,0.06271979220568391
2017-09-24,8077.48,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.06271979220568391,0.06271979220568391
2017-09-25,8077.48,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.06271979220568391
2017-09-26,8066.96,0.05761219168213949,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925
2017-09-27,8066.96,0.05761219168213949,0.05761219168213949,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925
2017-09-28,8066.96,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925
2017-09-29,8066.96,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.059746953601395925,0.059746953601395925,0.059746953601395925,0.059746953601395925
2017-09-30,8066.96,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.059746953601395925,0.059746953601395925,0.059746953601395925
2017-10-01,8066.96,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.059746953601395925,0.059746953601395925
2017-10-02,8066.96,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.059746953601395925
2017-10-03,8060.8,0.05636217899938112,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949
2017-10-04,8060.8,0.05636217899938112,0.05636217899938112,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949
2017-10-05,8060.8,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949
2017-10-06,8060.8,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05761219168213949,0.05761219168213949,0.05761219168213949,0.05761219168213949
2017-10-07,8060.8,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05761219168213949,0.05761219168213949,0.05761219168213949
2017-10-08,8060.8,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05761219168213949,0.05761219168213949
2017-10-09,8060.8,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05761219168213949
2017-10-10,8052.08,0.05459268052638522,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112
2017-10-11,8052.08,0.05459268052638522,0.05459268052638522,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112
2017-10-12,8052.08,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112
2017-10-13,8052.08,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05636217899938112,0.05636217899938112,0.05636217899938112,0.05636217899938112
2017-10-14,8052.08,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05636217899938112,0.05636217899938112,0.05636217899938112
2017-10-15,8052.08,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05636217899938112,0.05636217899938112
2017-10-16,8052.08,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05636217899938112
2017-10-17,8058.77,0.055950243001653854,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522
2017-10-18,8058.77,0.055950243001653854,0.055950243001653854,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522
2017-10-19,8058.77,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522
2017-10-20,8058.77,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.05459268052638522,0.05459268052638522,0.05459268052638522,0.05459268052638522
2017-10-21,8058.77,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.05459268052638522,0.05459268052638522,0.05459268052638522
2017-10-22,8058.77,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.05459268052638522,0.05459268052638522
2017-10-23,8058.77,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.05459268052638522
2017-10-24,8069.61,0.058149940644689924,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854
2017-10-25,8069.61,0.058149940644689924,0.058149940644689924,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854
2017-10-26,8069.61,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854
2017-10-27,8069.61,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.055950243001653854,0.055950243001653854,0.055950243001653854,0.055950243001653854
2017-10-28,8069.61,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.055950243001653854,0.055950243001653854,0.055950243001653854
2017-10-29,8069.61,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.055950243001653854,0.055950243001653854
2017-10-30,8069.61,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.055950243001653854
2017-10-31,8078.12,0.05987682504895542,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924
2017-11-01,8078.12,0.05987682504895542,0.05987682504895542,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924,0.058149940644689924
